Code,Name,U_Status,U_Address,U_ComCode,U_ComName,WarehouseHO,RegionCode,RegionName,AreaCode,AreaName,Provinces,Xvalue,Yvalue,ShopType
30718,DAG 176 Quang Trung,A,"176 Quang Trung, Phường Thanh Bình, Quận Hải Châu, Thành Phố Đà Nẵng, Việt Nam",090704,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI ĐÀ NẴNG,11000,00005,Miền Trung,00395,Miền Trung-KV7,Đà Nẵng,16.073585,108.213789,D
30254,HNI 760 Quang Trung,A,"Số 760-762 Quang Trung, Phường Phú La, Quận Hà Đông, Thành Phố Hà Nội, Việt Nam",090201,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI,11001,00006,Hà Nội,00071,Hà Nội-KV3,Hà Nội,20.956687,105.757368,C
30877,HCM 192A Nguyễn Thị Định,A,"Số 192A Nguyễn Thị Định, P. An Phú, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00158,Hồ Chí Minh-KV4,Hồ Chí Minh,10.790669,106.753976,B
30878,HCM 170 Quốc Lộ 1K,A,"170 Quốc Lộ 1K, Khu phố 1, P. Linh Xuân, Q. Thủ Đức, TP. Hồ Chí Minh, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00158,Hồ Chí Minh-KV4,Hồ Chí Minh,10.880446,106.768350,C
30121,PTO 262 Phố Tân Thành,A,"Số 262, Phố Tân Thành, P. Hùng Vương, Thị Xã Phú Thọ, Tỉnh Phú Thọ, Việt Nam",090126,CHI NHÁNH PHÚ THỌ - CÔNG TY  CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11001,00002,Miền Bắc 1,00442,Miền Bắc 1-KV10,Phú Thọ,21.403587,105.211926,D
30933,AGG 316 Trần Hưng Đạo,A,"Số 316 Trần Hưng Đạo, P. Mỹ Long, TP Long Xuyên, Tỉnh An Giang, Việt Nam",090936,CHI NHÁNH AN GIANG - CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11000,00204,Miền Tây Nam Bộ,00231,Miền Tây NB 4,An Giang,10.377770,105.439980,B
30720,QNM 56 Phan Châu Trinh,A,"Số 54 -56 Phan Châu Trinh, Phường An Mỹ, Thành Phố Tam Kỳ, Tỉnh Quảng Nam, Việt Nam",090755,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI QUẢNG NAM,11000,00005,Miền Trung,00421,Miền Trung-KV8,Quảng Nam,15.572438,108.483723,C
30255,HNI 7 Yên Phụ,A,"Số 7 Yên Phụ, P. Yên Phụ, Q. Tây Hồ, Thành phố Hà Nội, Việt Nam",090201,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI,11001,00006,Hà Nội,00580,Hà Nội-KV9,Hà Nội,21.050645,105.839854,A
30123,PTO 1174 Hùng Vương,A,"1174 Đường Hùng Vương, Phường Tiên Cát, Thành Phố Việt Trì, Tỉnh Phú Thọ, Việt Nam",090126,CHI NHÁNH PHÚ THỌ - CÔNG TY  CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11001,00002,Miền Bắc 1,00442,Miền Bắc 1-KV10,Phú Thọ,21.307338,105.405222,C
30122,BGG 83 Phố Thanh Xuân,A,"Số 83 Phố Thanh Xuân, Thị trấn Đồi Ngô, Huyện Lục Nam, Tỉnh Bắc Giang, Việt Nam",090138,CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT - CHI NHÁNH BẮC GIANG,11001,00002,Miền Bắc 1,00187,Miền Bắc 1-KV4,Bắc Giang,21.301569,106.383687,C
30256,HNI 252 Lê Lợi,A,"Số 252 Đường Lê Lợi, Thị Trấn Vân Đình, Huyện Ứng Hòa, Thành Phố Hà Nội, Việt Nam",090201,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI,11001,00006,Hà Nội,00580,Hà Nội-KV9,Hà Nội,20.734613,105.770559,D
30721,DAG 137 Ông Ích Đường,A,"137 Ông Ích Đường, P. Khuê Trung, Q. Cẩm Lệ, TP Đà Nẵng, Việt Nam",090704,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI ĐÀ NẴNG,11000,00005,Miền Trung,00176,Miền Trung-KV2,Đà Nẵng,16.017117,108.204725,B
30427,NAN 159 Nguyễn Phong Sắc,A,"Số 159, Nguyễn Phong Sắc, Khu Trung Đông, P. Hưng Dũng, TP. Vinh, Tỉnh Nghệ An, Việt Nam",090402,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI NGHỆ AN,11001,00003,Miền Bắc 2,00374,Miền Bắc 2-KV0,Nghệ An,18.684243,105.698842,B
40801,HCM Fstudio 121 Lê Lợi,A,"121 Lê Lợi, P.Bến Nghé, Q.1, Tp.HCM",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00043,Hồ Chí Minh-KV1,Hồ Chí Minh,10.772637,106.699629,A
30124,BGG 114 Xương Giang,A,"Số 114 Xương Giang, P. Ngô Quyền, TP. Bắc Giang, Tỉnh Bắc Giang, Việt Nam",090138,CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT - CHI NHÁNH BẮC GIANG,11001,00002,Miền Bắc 1,00170,Miền Bắc 1-KV3,Bắc Giang,21.284229,106.200565,B
30881,BDG 5/171 Thủ Khoa Huân,A,"Số 5/171 Thủ Khoa Huân, Khu phố Hòa Lân 1, P. Thuận Giao, Thị xã Thuận An, Tỉnh Bình Dương",090811,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI BÌNH DƯƠNG,11000,00205,Miền Đông Nam Bộ,00179,Miền Đông NB 2,Bình Dương,10.955850,106.702099,C
30609,NTN 412 Ngô Gia Tự,A,"Số 412 Ngô Gia Tự, P. Tấn Tài, TP. Phan Rang - Tháp Chàm, Tỉnh Ninh Thuận, Việt Nam",090659,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI NINH THUẬN,11000,00005,Miền Trung,00422,Miền Trung-KV9,Ninh Thuận,11.558554,108.993488,B
30610,NTN 697 Đường 21/8,A,"Số 697 đường 21/8, P. Bảo An, TP. Phan Rang - Tháp Chàm, Tỉnh Ninh Thuận, Việt Nam",090659,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI NINH THUẬN,11000,00005,Miền Trung,00422,Miền Trung-KV9,Ninh Thuận,11.592826,108.953328,B
30935,KGG 331 Nguyễn Trung Trực,A,"Số 331 Nguyễn Trung Trực, Khu phố 5, Thị trấn Dương Đông, Huyện Phú Quốc, Tỉnh Kiên Giang",090925,CHI NHÁNH KIÊN GIANG - CÔNG TY  CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11000,00204,Miền Tây Nam Bộ,00386,Miền Tây NB 7,Kiên Giang,10.223617,103.972381,B
30318,NDH 01 Điện Biên,A,"Số 01-03-05 đường Điện Biên, P. Cửa Bắc, TP. Nam Định, Tỉnh Nam Định, Việt Nam",090348,CHI NHÁNH NAM ĐỊNH - CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11001,00003,Miền Bắc 2,00174,Miền Bắc 2-KV3,Nam Định,20.428792,106.168336,D
30883,HCM 155 Liên Tỉnh 5,A,"155-157 Liên Tỉnh 5, Phường 5, Quận 8, TP. Hồ Chí Minh, Việt Nam",090800,CÔNG TY CỔ PHẦN BÁN LẺ KỶ THUẬT SỐ FPT,11000,00007,Hồ Chí Minh,00178,Hồ Chí Minh-KV5,Hồ Chí Minh,10.737465,106.656350,B
30510,LDG 114 Đường 3/2,A,"Số 114 đường 3/2, Phường 5, TP. Đà Lạt, Tỉnh Lâm Đồng, Việt Nam",090519,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI LÂM ĐỒNG,11000,00005,Miền Trung,00177,Miền Trung-KV3,Lâm Đồng,11.941359,108.431816,B
30320,HPG 42 Minh Đức,A,"Khu đất số 42 phố Minh Đức, đường 354, khu 2, Thị trấn Tiên Lãng, H. Tiên Lãng, TP. Hải Phòng, Việt Nam",090306,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HẢI PHÒNG,11001,00003,Miền Bắc 2,00403,Miền Bắc 2-KV8,Hải Phòng,20.726278,106.555055,C
30880,BDG 27 Độc Lập,A,"Số 27 Độc Lập, Khu phố 1, Thị trấn Phước Vĩnh, Huyện Phú Giáo, Tỉnh Bình Đương",090811,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI BÌNH DƯƠNG,11000,00205,Miền Đông Nam Bộ,00179,Miền Đông NB 2,Bình Dương,11.288904,106.792513,C
30272,HNI 267 Hoàng Hoa Thám,A,"267 Hoàng Hoa Thám, P. Liễu Giai, Q. Ba Đình, TP. Hà Nội, Việt Nam",090201,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI,11001,00006,Hà Nội,00190,Hà Nội-KV5,Hà Nội,21.042050,105.819129,B
30273,HNI 186 Khu đấu giá đường 430,A,"186 Khu đấu giá ven đường 430, P. Vạn Phúc, Q. Hà Đông, TP Hà Nội, Việt Nam",090201,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI,11001,00006,Hà Nội,00071,Hà Nội-KV3,Hà Nội,20.982557,105.770450,A
30274,HNI 232 Ngô Gia Tự,A,"232 Ngô Gia Tự, P. Đức Giang, Q. Long Biên, TP. Hà Nội, Việt Nam",090201,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI,11001,00006,Hà Nội,00515,Hà Nội-KV7,Hà Nội,21.062522,105.895385,A
30275,HNI 29 Phùng Hưng,A,"Số 29 Phùng Hưng, P. Phúc La, Q. Hà Đông, TP Hà Nội, Việt Nam",090201,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI,11001,00006,Hà Nội,00515,Hà Nội-KV7,Hà Nội,20.971051,105.783775,B
30276,HNI 79B Kim Ngưu,A,"Số 79B Kim Ngưu, Tổ 10, P. Thanh Lương, Q. Hai Bà Trưng, TP. Hà Nội, Việt Nam",090201,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI,11001,00006,Hà Nội,00036,Hà Nội-KV1,Hà Nội,21.007775,105.860847,D
30277,HNI 655-657 Nguyễn Văn Linh,A,"Số 655-657, đường Nguyễn Văn Linh, Tổ 11, P. Sài Đồng, Q. Long Biên, TP. Hà Nội, Việt Nam",090201,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI,11001,00006,Hà Nội,00580,Hà Nội-KV9,Hà Nội,21.030304,105.913678,C
30279,HNI 809 Giải Phóng,A,"Số 809 Giải Phóng, P. Giáp Bát, Q. Hoàng Mai, TP. Hà Nội, Việt Nam",090201,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI,11001,00006,Hà Nội,00036,Hà Nội-KV1,Hà Nội,20.983863,105.841242,C
30280,HNI 477 Ngọc Lâm,A,"477 Ngọc Lâm, P. Ngọc Lâm, Q. Long Biên, TP. Hà Nội, Việt Nam",090201,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI,11001,00006,Hà Nội,00515,Hà Nội-KV7,Hà Nội,21.049894,105.877242,C
30281,HNI 378 Nguyễn Trãi,A,"378 Nguyễn Trãi, P. Thanh Xuân Trung, Q. Thanh Xuân, TP. Hà Nội, Việt Nam",090201,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI,11001,00006,Hà Nội,00577,Hà Nội-KV8,Hà Nội,20.994142,105.806688,A
30330,NBH 173 Đinh Tiên Hoàng,A,"173 Đinh Tiên Hoàng, Phố 8, P. Đông Thành, TP. Ninh Bình, Tỉnh Ninh Bình, Việt Nam",090328,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT NINH BÌNH,11001,00003,Miền Bắc 2,00174,Miền Bắc 2-KV3,Ninh Bình,20.263147,105.974068,D
30331,TBH Khu Nhân Cầu 3,A,"Khu Nhân Cầu 3, Thị trấn Hưng Hà, Huyện Hưng Hà, Tỉnh Thái Bình, Việt Nam",090315,CHI NHÁNH THÁI BÌNH - CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11001,00003,Miền Bắc 2,00461,Miền Bắc 2-KV10,Thái Bình,20.591220,106.224600,C
30332,NDH Tân Lập - Ý Yên,A,"Thôn Tân Lập, Xã Tiên Tiến, Huyện Ý Yên, Tỉnh Nam Định, Việt Nam",090348,CHI NHÁNH NAM ĐỊNH - CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11001,00003,Miền Bắc 2,00174,Miền Bắc 2-KV3,Nam Định,20.300172,106.029965,C
30333,NBH 20 Phố Trì Chính,A,"20 Phố Trì Chính, Thị trấn Phát Diệm, H. Kim Sơn, Tỉnh Nình Bình",090328,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT NINH BÌNH,11001,00003,Miền Bắc 2,00174,Miền Bắc 2-KV3,Ninh Bình,20.093239,106.089533,D
30334,NDH 12 Giải Phóng,A,"12 Giải Phóng, Xã Lộc Hòa, TP. Nam Định, Tỉnh Nam Định, Việt Nam",090348,CHI NHÁNH NAM ĐỊNH - CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,11001,00003,Miền Bắc 2,00174,Miền Bắc 2-KV3,Nam Định,20.430490,106.161085,D
30443,NAN 29 Phan Đăng Lưu,A,"Số 29, đường Phan Đăng Lưu, P. Trường Thi, TP.Vinh, Nghệ An,Việt Nam",090402,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI NGHỆ AN,11001,00003,Miền Bắc 2,00173,Miền Bắc 2-KV2,Nghệ An,18.672039,105.699394,D
30444,QBH 2 Hữu Nghị,A,"Số 02 Hữu Nghị, P. Bắc Lý, TP. Đồng Hới, Tỉnh Quảng Bình, Việt Nam",090437,CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT - CHI NHÁNH QUẢNG BÌNH,11001,00003,Miền Bắc 2,00172,Miền Bắc 2-KV1,Quảng Bình,17.484081,106.603686,D
30445,QBH Tổ 8 Kiến Giang,A,"Tổ dân phố 8, thị trấn Kiến Giang, H. Lệ Thủy, Tỉnh Quảng Bình, Việt Nam",090437,CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT - CHI NHÁNH QUẢNG BÌNH,11001,00003,Miền Bắc 2,00172,Miền Bắc 2-KV1,Quảng Bình,17.223654,106.790676,C
30447,TTH 53 Trần Hưng Đạo,A,"Số 53 Trần Hưng Đạo, Phường Phú Hòa, TP. Huế, Tỉnh Thừa Thiên Huế, Việt Nam",090408,CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI THỪA THIÊN HUẾ,11000,00005,Miền Trung,00176,Miền Trung-KV2,Thừa Thiên Huế,16.468720,107.585204,C
